eventPlayerID,playerID,jerseyCode,position
"*keep this column only if you want to edit an existing player, otherwise, leave blank","*get it from team download, do not leave blank, it is the ID of the player who join the event","*do not use special character, can leave blank","*do not use special character, can leave blank"
,1,A1,goalkeeper
,2,A2,field
,3,A3,field
,4,A4,field
,5,A5,field
,6,A6,field
,7,A7,field
,8,A8,field
,9,A9,field
,10,A10,field
,11,B1,goalkeeper
,12,B2,field
,13,B3,field
,14,B4,field
,15,B5,field
,16,B6,field
,17,B7,field
,18,B8,field
,19,B9,field
,20,B10,field
,21,C1,goalkeeper
,22,C2,field
,23,C3,field
,24,C4,field
,25,C5,field
,26,C6,field
,27,C7,field
,28,C8,field
,29,C9,field
,30,C10,field
,31,D1,goalkeeper
,32,D2,field
,33,D3,field
,34,D4,field
,35,D5,field
,36,D6,field
,37,D7,field
,38,D8,field
,39,D9,field
,40,D10,field
,41,E1,goalkeeper
,42,E2,field
,43,E3,field
,44,E4,field
,45,E5,field
,46,E6,field
,47,E7,field
,48,E8,field
,49,E9,field
,50,E10,field
,51,F1,goalkeeper
,52,F2,field
,53,F3,field
,54,F4,field
,55,F5,field
,56,F6,field
,57,F7,field
,58,F8,field
,59,F9,field
,60,F10,field
,61,G1,goalkeeper
,62,G2,field
,63,G3,field
,64,G4,field
,65,G5,field
,66,G6,field
,67,G7,field
,68,G8,field
,69,G9,field
,70,G10,field
,71,H1,goalkeeper
,72,H2,field
,73,H3,field
,74,H4,field
,75,H5,field
,76,H6,field
,77,H7,field
,78,H8,field
,79,H9,field
,80,H10,field
,81,I1,goalkeeper
,82,I2,field
,83,I3,field
,84,I4,field
,85,I5,field
,86,I6,field
,87,I7,field
,88,I8,field
,89,I9,field
,90,I10,field
,91,J1,goalkeeper
,92,J2,field
,93,J3,field
,94,J4,field
,95,J5,field
,96,J6,field
,97,J7,field
,98,J8,field
,99,J9,field
,100,J10,field
